,Unnamed: 0,Descriptions,Amount,Category,date,customer_id,type,is_scam_transaction,fraud_type,case_id,transaction_id,month,customer_scammed,In_or_Out,bank_to,bank_from,transac_prob,customer_prob,priority,date_DF_created,preds,diff
20840,20841,Inheritance release banking charges covered,113.45,Utilities,26/10/2023,14905,spending,1,AdvanceFee,1479039,6201388,October,1,paid_out,Intrnl,bank_A,0.66,0.64,4,03/11/2023,1,0
21009,21010,"Money transfer - partner, emergency fund",144.5,Transfers,26/10/2023,16209,spending,1,Romance,7792990,2745709,October,1,paid_out,bank_D,bank_B,0.62,0.72,2,03/11/2023,,-1
21016,21017,Hotel Reservation - Travel Website,54.15,Holiday,26/10/2023,17804,spending,1,Purchase,1151729,5971136,October,1,paid_out,bank_C,bank_A,0.47,0.62,1,03/11/2023,1,0
21229,21230,Online Gift Purchase for My New Love,14.5,Personal care,26/10/2023,15391,spending,1,Romance,8779824,1110967,October,1,paid_out,bank_B,bank_D,0.22,0.67,1,03/11/2023,,-1
21265,21266,Designer Handbag - Luxury Boutique,30.8,Shopping,26/10/2023,16427,spending,1,Purchase,3714987,2616758,October,1,paid_out,bank_D,bank_B,0.26,0.75,1,03/11/2023,1,0
21272,21273,Traffic Violation Fine,37.15,Utilities,26/10/2023,15496,spending,1,Impersonation,5089784,4048236,October,1,paid_out,bank_C,bank_D,0.1,0.8,1,03/11/2023,,-1
21713,21714,Canary island holiday ,50.35,Holiday,27/10/2023,14513,spending,1,Romance,6164662,5197625,October,1,paid_out,bank_E,bank_C,0.42,0.81,1,03/11/2023,,-1
21794,21795,IRS Tax Payment - Urgent Action Required,154.35,Transfers,27/10/2023,16427,spending,1,Impersonation,8644010,5878833,October,1,paid_out,Intrnl,bank_B,0.65,0.75,4,03/11/2023,,-1
21856,21857,Binary Options Investment - Instant Profits,297.4,Investment,27/10/2023,10647,spending,1,Investment,1881613,6424376,October,1,paid_out,bank_B,bank_D,0.58,0.75,3,03/11/2023,,-1
22011,22012,Binary Options Investment - Instant Profits,60.75,Investment,27/10/2023,11824,spending,1,Investment,4801938,3891927,October,1,paid_out,bank_E,bank_C,0.4,0.79,1,03/11/2023,,-1
22081,22082,InvestToday initial amount,84.35,Utilities,27/10/2023,18243,spending,1,AdvanceFee,1972917,7030589,October,1,paid_out,bank_C,bank_C,0.66,0.74,2,03/11/2023,,-1
22218,22219,WinBet Request Winnings Fee,32.95,Utilities,28/10/2023,14687,spending,1,AdvanceFee,8049264,5882919,October,1,paid_out,bank_E,bank_E,0.25,0.7,1,03/11/2023,,-1
22323,22324,Legal Penalty Settlement,100.75,Transfers,28/10/2023,18133,spending,1,Impersonation,7204013,2084422,October,1,paid_out,bank_C,bank_C,0.52,0.85,2,03/11/2023,,-1
22385,22386,Traffic Violation Fine,85.65,Utilities,28/10/2023,11824,spending,1,Impersonation,2140447,2520947,October,1,paid_out,bank_E,bank_C,0.65,0.79,2,03/11/2023,,-1
22729,22730,Commodity Futures Investment - High-Yield,80.8,Investment,28/10/2023,14905,spending,1,Investment,8994651,5445845,October,1,paid_out,bank_D,bank_A,0.55,0.64,2,03/11/2023,,-1
22928,22929,Binary Options Investment - Instant Profits,285.3,Investment,29/10/2023,18805,spending,1,Investment,2094552,5311095,October,1,paid_out,bank_C,bank_C,0.8,0.84,3,03/11/2023,1,0
23166,23167,V&I visa check fees ,37.4,Utilities,29/10/2023,10271,spending,1,Impersonation,4261436,7905856,October,1,paid_out,bank_B,bank_E,0.4,0.89,1,03/11/2023,1,0
23468,23469,Sport event tickets,35.7,Entertainment,29/10/2023,10911,spending,1,Purchase,4283160,5323494,October,1,paid_out,bank_B,bank_A,0.35,0.85,1,03/11/2023,1,0
23584,23585,Private Yacht Charter - Mediterranean Cruise,47.4,Holiday,30/10/2023,13531,spending,1,Romance,8289447,5685964,October,1,paid_out,bank_D,bank_A,0.33,0.8,1,03/11/2023,,-1
23859,23860,Commodity Futures Investment - High-Yield,601.2,Investment,30/10/2023,18396,spending,1,Investment,3651083,4116171,October,1,paid_out,Intrnl,bank_B,0.63,0.65,4,03/11/2023,,-1
23944,23945,Options Trading Returns - No Risk Strategy,395.55,Shopping,30/10/2023,14687,spending,1,Investment,5736751,3845497,October,1,paid_out,bank_D,bank_E,0.52,0.7,3,03/11/2023,,-1
23960,23961,ClothesOnline additional posting payment,33.45,Shopping,30/10/2023,13709,spending,1,Purchase,7919100,5528996,October,1,paid_out,bank_D,bank_D,0.14,0.5,1,03/11/2023,,-1
23963,23964,Sport event tickets,54.55,Entertainment,30/10/2023,18243,spending,1,Purchase,4858476,4348379,October,1,paid_out,bank_D,bank_C,0.43,0.74,1,03/11/2023,1,0
24112,24113,Payment for Outstanding Tax Fine,2.15,Utilities,30/10/2023,18396,spending,1,Impersonation,2541694,7496168,October,1,paid_out,bank_A,bank_B,0.21,0.65,1,03/11/2023,,-1
24202,24203,Police Admin Fees,36.6,Utilities,30/10/2023,14647,spending,1,Impersonation,8414344,4601172,October,1,paid_out,bank_E,bank_A,0.36,0.6,1,03/11/2023,,-1
24262,24263,Bank Account Verification - Immediate Response Needed,108.65,Transfers,30/10/2023,11348,spending,1,Impersonation,4105885,3468003,October,1,paid_out,bank_B,bank_E,0.54,0.56,2,03/11/2023,1,0
24678,24679,Apple Store - Electronics Purchase,70.25,Shopping,31/10/2023,14513,spending,1,Romance,4634152,8231878,October,1,paid_out,bank_A,bank_C,0.4,0.81,1,03/11/2023,,-1
24688,24689,Diamond Investment Fund - High-Value Returns,154.75,Investment,31/10/2023,17636,spending,1,Investment,4465852,1525951,October,1,paid_out,bank_C,bank_D,0.51,0.56,2,03/11/2023,,-1
24698,24699,Traffic Violation Fine,141,Utilities,31/10/2023,18873,spending,1,Impersonation,4354785,2441322,October,1,paid_out,bank_B,bank_E,0.55,0.74,2,03/11/2023,,-1
24699,24700,Guaranteed Returns - Investment Portfolio,598.95,Investment,31/10/2023,11360,spending,1,Investment,4721559,8674790,October,1,paid_out,Intrnl,bank_B,0.8,0.41,4,03/11/2023,,-1
24862,24863,Designer Handbag - Luxury Boutique,42.45,Shopping,31/10/2023,15958,spending,1,Purchase,5234032,6488663,October,1,paid_out,bank_C,bank_C,0.38,0.82,1,03/11/2023,1,0
24908,24909,High-Yield Investment Opportunity,222.15,Shopping,31/10/2023,11679,spending,1,Investment,8056719,8956726,October,1,paid_out,bank_B,bank_E,0.52,0.74,3,03/11/2023,,-1
24980,24981,Traffic Violation Fine,2.3,Utilities,31/10/2023,12628,spending,1,Impersonation,2065988,2712440,October,1,paid_out,bank_D,bank_A,0.39,0.42,1,03/11/2023,,-1
24996,24997,Inheritance release banking charges covered,51.95,Utilities,31/10/2023,17066,spending,1,AdvanceFee,6981560,2465735,October,1,paid_out,bank_C,bank_B,0.59,0.73,1,03/11/2023,,-1
25051,25052,Emergency Medical Expense for My Partner,30.2,Healthcare,31/10/2023,13531,spending,1,Romance,2125021,6432174,October,1,paid_out,bank_E,bank_A,0.19,0.8,1,03/11/2023,,-1
25078,25079,Binary Options Investment - Instant Profits,10,Investment,31/10/2023,13395,spending,1,Investment,3917119,1387938,October,1,paid_out,bank_B,bank_C,0.19,0.7,1,03/11/2023,1,0
25280,25281,Law Enforcement Fine - Pay Now to Avoid Arrest,223.7,Utilities,01/11/2023,18816,spending,1,Impersonation,4454833,7806801,November,1,paid_out,Intrnl,bank_A,0.71,0.46,4,03/11/2023,,-1
25329,25330,Bank Account Verification - Immediate Response Needed,226.85,Transfers,01/11/2023,13709,spending,1,Impersonation,3792445,8277280,November,1,paid_out,bank_C,bank_D,0.54,0.5,3,03/11/2023,,-1
25807,25808,"Money transfer - partner, emergency fund",171.6,Transfers,01/11/2023,13063,spending,1,Romance,3742220,1508497,November,1,paid_out,bank_D,bank_E,0.57,0.59,3,03/11/2023,,-1
25808,25809,"Money transfer - partner, emergency fund",20.1,Transfers,01/11/2023,13063,spending,1,Romance,3919889,2186503,November,1,paid_out,bank_A,bank_E,0.31,0.59,1,03/11/2023,,-1
25809,25810,eBay Fee For Requested Refund,43.6,Shopping,01/11/2023,12172,spending,1,Purchase,7079346,8893464,November,1,paid_out,bank_B,bank_C,0.34,0.43,1,03/11/2023,,-1
26326,26327,eBay Fee For Requested Refund,34,Shopping,01/11/2023,16077,spending,1,Purchase,5054473,1960314,November,1,paid_out,bank_A,bank_E,0.28,0.8,1,03/11/2023,1,0
27016,27017,Private Yacht Charter - Mediterranean Cruise,75.1,Holiday,01/11/2023,13531,spending,1,Romance,7430014,3907186,November,1,paid_out,bank_A,bank_A,0.48,0.8,1,03/11/2023,,-1
27077,27078,V&I visa check fees ,17.25,Utilities,02/11/2023,15097,spending,1,Impersonation,5779954,7778825,November,1,paid_out,bank_E,bank_C,0.35,0.42,1,03/11/2023,,-1
27285,27286,Plane Ticket for Our Dream Vacation,236.4,Holiday,02/11/2023,15391,spending,1,Romance,2103769,4933627,November,1,paid_out,bank_D,bank_D,0.64,0.67,3,03/11/2023,,-1
27443,27444,eBay Fee For Requested Refund,41.9,Shopping,02/11/2023,13709,spending,1,Purchase,3931279,4037334,November,1,paid_out,bank_D,bank_D,0.2,0.5,1,03/11/2023,,-1
27702,27703,V&I visa check fees ,87.9,Utilities,02/11/2023,14010,spending,1,Impersonation,5691611,8520382,November,1,paid_out,bank_D,bank_C,0.56,0.45,2,03/11/2023,,-1
28289,28290,"Claim Your Lottery Winnings - Processing Fee""",1.4,Shopping,03/11/2023,16077,spending,1,AdvanceFee,8534326,3287841,November,1,paid_out,bank_A,bank_E,0.39,0.8,1,03/11/2023,1,0
28324,28325,Grant Approval - Small Processing Charge,96.4,Utilities,03/11/2023,18805,spending,1,AdvanceFee,8021000,6250141,November,1,paid_out,bank_A,bank_C,0.53,0.84,2,03/11/2023,,-1
28360,28361,Electronics Purchase - Online Store,25.4,Electronics,03/11/2023,11087,spending,1,Purchase,7325362,7408733,November,1,paid_out,bank_C,bank_B,0.3,0.56,1,03/11/2023,,-1
28362,28363,Sport event tickets,38.4,Entertainment,03/11/2023,11087,spending,1,Purchase,3424190,8514954,November,1,paid_out,bank_B,bank_B,0.13,0.56,1,03/11/2023,,-1
28578,28579,Property Investment Purchase - Exclusive Deal,82.75,Shopping,03/11/2023,12628,spending,1,Investment,5334117,4250177,November,1,paid_out,bank_D,bank_A,0.43,0.42,2,03/11/2023,,-1
28803,28804,Hotel Reservation - Travel Website,38.1,Holiday,03/11/2023,17619,spending,1,Purchase,2700246,8879356,November,1,paid_out,bank_A,bank_B,0.14,0.48,1,03/11/2023,,-1
28848,28849,eBay Fee For Requested Refund,51.15,Shopping,03/11/2023,13395,spending,1,Purchase,5848982,6810442,November,1,paid_out,bank_E,bank_C,0.46,0.7,1,03/11/2023,1,0
29166,29167,Sport event tickets,41.6,Entertainment,03/11/2023,14687,spending,1,Purchase,8107683,3357743,November,1,paid_out,bank_C,bank_E,0.23,0.7,1,03/11/2023,,-1
29307,29308,Bank Account Verification - Immediate Response Needed,34.8,Transfers,03/11/2023,17636,spending,1,Impersonation,6101249,3418246,November,1,paid_out,bank_D,bank_D,0.3,0.56,1,03/11/2023,,-1
29456,29457,eBay Fee For Requested Refund,58.9,Shopping,04/11/2023,11421,spending,1,Purchase,3114539,5456050,November,1,paid_out,bank_B,bank_D,0.46,0.71,1,03/11/2023,1,0
29504,29505,ClothesOnline additional posting payment,29.4,Shopping,04/11/2023,14647,spending,1,Purchase,4548617,8213914,November,1,paid_out,bank_E,bank_A,0.27,0.6,1,03/11/2023,,-1
29547,29548,Ralph Lauren - Fashion Purchase,29.4,Shopping,04/11/2023,15971,spending,1,Romance,8444616,1265937,November,1,paid_out,bank_A,bank_E,0.19,0.55,1,03/11/2023,,-1
29983,29984,Emergency medical transfer,127.4,Healthcare,04/11/2023,13531,spending,1,Romance,5962869,7792201,November,1,paid_out,bank_C,bank_A,0.69,0.8,2,03/11/2023,,-1
30007,30008,eBay securitng item payment,64.25,Shopping,04/11/2023,10647,spending,1,AdvanceFee,4161846,6918411,November,1,paid_out,bank_C,bank_D,0.42,0.75,1,03/11/2023,1,0
30038,30039,Air bnb extra cleaning fees,34.65,Holiday,04/11/2023,16244,spending,1,Purchase,3179550,4374180,November,1,paid_out,bank_B,bank_B,0.38,0.66,1,03/11/2023,,-1
30101,30102,Hotel Reservation - Travel Website,48.5,Holiday,04/11/2023,10525,spending,1,Purchase,5646690,1467991,November,1,paid_out,bank_C,bank_C,0.47,0.56,1,03/11/2023,1,0
30106,30107,Police Admin Fees,10,Utilities,04/11/2023,19879,spending,1,Impersonation,1547399,1671684,November,1,paid_out,bank_E,bank_A,0.35,0.61,1,03/11/2023,,-1
30134,30135,Police Admin Fees,264.2,Utilities,04/11/2023,13121,spending,1,Impersonation,8046932,7791101,November,1,paid_out,Intrnl,bank_A,0.61,0.54,4,03/11/2023,,-1
30138,30139,Air bnb extra cleaning fees,43.65,Holiday,04/11/2023,16244,spending,1,Purchase,3823177,8582172,November,1,paid_out,bank_A,bank_B,0.18,0.66,1,03/11/2023,,-1
30254,30255,Inheritance release banking charges covered,54.05,Utilities,04/11/2023,17966,spending,1,AdvanceFee,4298981,1289613,November,1,paid_out,bank_B,bank_A,0.43,0.61,1,03/11/2023,,-1
30333,30334,Air bnb extra cleaning fees,41.75,Holiday,05/11/2023,18377,spending,1,Purchase,8339800,7603405,November,1,paid_out,bank_A,bank_B,0.29,0.54,1,03/11/2023,,-1
30441,30442,Foreign Exchange Investment - Safe and Secure,61.75,Investment,05/11/2023,11824,spending,1,Investment,1445155,8963415,November,1,paid_out,bank_D,bank_C,0.31,0.79,1,03/11/2023,,-1
31019,31020,Air bnb extra cleaning fees,45.55,Holiday,05/11/2023,17066,spending,1,Purchase,1108106,8633649,November,1,paid_out,bank_B,bank_B,0.26,0.73,1,03/11/2023,,-1
31249,31250,Payment to Supplier - Account Details Amendment,137.2,Shopping,06/11/2023,18712,spending,1,InvoiceMandate,4725089,4126609,November,1,paid_out,bank_A,bank_E,0.42,0.45,2,03/11/2023,1,0
31392,31393,Options Trading Returns - No Risk Strategy,293.65,Shopping,06/11/2023,15233,spending,1,Investment,5378244,5275444,November,1,paid_out,bank_C,bank_A,0.58,0.64,3,03/11/2023,1,0
31721,31722,Diamond Investment Fund - High-Value Returns,264.95,Investment,06/11/2023,11360,spending,1,Investment,8988584,7955081,November,1,paid_out,Intrnl,bank_B,0.77,0.41,4,03/11/2023,,-1
31728,31729,Mortgage assistance,27.8,Utilities,06/11/2023,14513,spending,1,Romance,8229387,2219330,November,1,paid_out,bank_E,bank_C,0.25,0.81,1,03/11/2023,,-1
32192,32193,Traffic Violation Fine,142.2,Utilities,07/11/2023,11087,spending,1,Impersonation,3623794,6004818,November,1,paid_out,bank_E,bank_B,0.51,0.56,2,03/11/2023,1,0
32277,32278,Air bnb extra cleaning fees,49.25,Holiday,07/11/2023,14620,spending,1,Purchase,5095471,7455528,November,1,paid_out,bank_C,bank_C,0.39,0.53,1,03/11/2023,1,0
32389,32390,eBay Fee For Requested Refund,31.7,Shopping,07/11/2023,18133,spending,1,Purchase,7496497,3103997,November,1,paid_out,bank_B,bank_C,0.25,0.85,1,03/11/2023,,-1
32407,32408,Dinner for two,101,Dining Out,07/11/2023,13063,spending,1,Romance,4395176,7369457,November,1,paid_out,bank_B,bank_E,0.51,0.59,2,03/11/2023,,-1
32523,32524,Inheritance release banking charges covered,62.45,Utilities,07/11/2023,17804,spending,1,AdvanceFee,2256632,4118396,November,1,paid_out,bank_A,bank_A,0.44,0.62,1,03/11/2023,,-1
32580,32581,WinBet Request Winnings Fee,12.5,Utilities,08/11/2023,16417,spending,1,AdvanceFee,8477315,1057629,November,1,paid_out,bank_B,bank_D,0.2,0.69,1,03/11/2023,,-1
32731,32732,Private Yacht Charter - Mediterranean Cruise,164.85,Holiday,08/11/2023,16154,spending,1,Romance,8555915,2523460,November,1,paid_out,bank_C,bank_E,0.55,0.41,3,03/11/2023,,-1
32800,32801,eBay Fee For Requested Refund,30.4,Shopping,08/11/2023,10647,spending,1,Purchase,4343897,1590170,November,1,paid_out,bank_D,bank_D,0.26,0.75,1,03/11/2023,,-1
32814,32815,Grant Approval - Small Processing Charge,54.95,Utilities,08/11/2023,18818,spending,1,AdvanceFee,7578628,1182521,November,1,paid_out,bank_E,bank_D,0.41,0.67,1,03/11/2023,1,0
32908,32909,Electronics Purchase - Online Store,41,Electronics,08/11/2023,17636,spending,1,Purchase,7749386,8134016,November,1,paid_out,bank_D,bank_D,0.12,0.56,1,03/11/2023,,-1
33137,33138,eBay Fee For Requested Refund,59.95,Shopping,08/11/2023,13811,spending,1,Purchase,4872710,1465502,November,1,paid_out,bank_D,bank_C,0.54,0.67,1,03/11/2023,,-1
33138,33139,ClothesOnline additional posting payment,42.4,Shopping,08/11/2023,13811,spending,1,Purchase,8165627,6537171,November,1,paid_out,bank_C,bank_C,0.37,0.67,1,03/11/2023,,-1
33305,33306,Canary island holiday ,38,Holiday,08/11/2023,16209,spending,1,Romance,6978105,7848929,November,1,paid_out,bank_E,bank_B,0.3,0.72,1,03/11/2023,,-1
33610,33611,ClothesOnline additional posting payment,49.35,Shopping,09/11/2023,18118,spending,1,Purchase,2595132,3544517,November,1,paid_out,bank_A,bank_D,0.34,0.56,1,03/11/2023,,-1
33767,33768,Online Gift Purchase for My New Love,97.8,Personal care,09/11/2023,13063,spending,1,Romance,3028748,3798691,November,1,paid_out,bank_D,bank_E,0.61,0.59,2,03/11/2023,,-1
33807,33808,Traffic Violation Fine,81.95,Utilities,09/11/2023,15958,spending,1,Impersonation,7405345,3584986,November,1,paid_out,bank_E,bank_C,0.67,0.82,2,03/11/2023,,-1
33808,33809,Payment for Outstanding Tax Fine,118,Utilities,09/11/2023,18712,spending,1,Impersonation,6592549,7211568,November,1,paid_out,bank_B,bank_E,0.67,0.45,2,03/11/2023,1,0
33850,33851,InvestToday initial amount,27.6,Utilities,09/11/2023,16427,spending,1,AdvanceFee,6768885,2312854,November,1,paid_out,bank_B,bank_B,0.13,0.75,1,03/11/2023,1,0
33956,33957,eBay Fee For Requested Refund,33.7,Shopping,09/11/2023,12168,spending,1,Purchase,3018750,8279307,November,1,paid_out,bank_D,bank_D,0.25,0.84,1,03/11/2023,,-1
34063,34064,French Riviera Yacht Charter - Luxury Cruise,14.05,Holiday,09/11/2023,13531,spending,1,Romance,1406473,8955869,November,1,paid_out,bank_D,bank_A,0.34,0.8,1,03/11/2023,,-1
34064,34065,Canary island holiday ,118.95,Holiday,09/11/2023,13531,spending,1,Romance,1661208,1512168,November,1,paid_out,bank_A,bank_A,0.51,0.8,2,03/11/2023,,-1
34500,34501,Sport event tickets,33.4,Entertainment,10/11/2023,11679,spending,1,Purchase,5756881,4369097,November,1,paid_out,bank_C,bank_E,0.19,0.74,1,03/11/2023,,-1
34509,34510,Electronics Purchase - Online Store,44.65,Electronics,10/11/2023,15958,spending,1,Purchase,5609492,3591615,November,1,paid_out,bank_C,bank_C,0.2,0.82,1,03/11/2023,,-1
34752,34753,Ralph Lauren - Fashion Purchase,243.4,Shopping,10/11/2023,13063,spending,1,Romance,1896479,3148614,November,1,paid_out,bank_B,bank_E,0.79,0.59,3,03/11/2023,,-1
34761,34762,Facebook Marketplace Upfront payment,31.05,Utilities,10/11/2023,15097,spending,1,Purchase,6965044,3510221,November,1,paid_out,bank_C,bank_C,0.19,0.42,1,03/11/2023,,-1
35038,35039,Guaranteed Returns - Investment Portfolio,283.1,Investment,11/11/2023,11360,spending,1,Investment,6752414,3363808,November,1,paid_out,Intrnl,bank_B,0.67,0.41,4,03/11/2023,1,0
35104,35105,Inheritance release banking charges covered,76.65,Utilities,11/11/2023,16417,spending,1,AdvanceFee,8361030,2363995,November,1,paid_out,bank_A,bank_D,0.35,0.69,1,03/11/2023,1,0
35169,35170,High-Yield Investment Opportunity,207.15,Shopping,11/11/2023,17966,spending,1,Investment,4291047,8338923,November,1,paid_out,bank_A,bank_A,0.51,0.61,3,03/11/2023,,-1
35340,35341,Bank Account Verification - Immediate Response Needed,94.2,Transfers,11/11/2023,11360,spending,1,Impersonation,7280871,8334868,November,1,paid_out,bank_A,bank_B,0.43,0.41,2,03/11/2023,1,0
35558,35559,"Money transfer - partner, emergency fund",38.6,Transfers,11/11/2023,16209,spending,1,Romance,8652012,6153598,November,1,paid_out,bank_B,bank_B,0.29,0.72,1,03/11/2023,,-1
35616,35617,Private Yacht Charter - Mediterranean Cruise,84.3,Holiday,11/11/2023,13531,spending,1,Romance,5644357,5248722,November,1,paid_out,bank_B,bank_A,0.44,0.8,2,03/11/2023,,-1
36200,36201,Designer Handbag - Luxury Boutique,44.55,Shopping,12/11/2023,10174,spending,1,Purchase,4822046,3946175,November,1,paid_out,bank_E,bank_E,0.18,0.77,1,03/11/2023,1,0
36464,36465,Private Yacht Charter - Mediterranean Cruise,15.4,Holiday,12/11/2023,16154,spending,1,Romance,4724783,2724468,November,1,paid_out,bank_E,bank_E,0.15,0.41,1,03/11/2023,,-1
36560,36561,Online Gift Purchase for My New Love,61.65,Personal care,13/11/2023,16209,spending,1,Romance,2594974,1343512,November,1,paid_out,bank_B,bank_B,0.49,0.72,1,03/11/2023,1,0
36625,36626,Bank Account Verification - Immediate Response Needed,217.3,Transfers,13/11/2023,13121,spending,1,Impersonation,4681902,4940999,November,1,paid_out,bank_D,bank_A,0.68,0.54,3,03/11/2023,,-1
37011,37012,Legal Penalty Settlement,49.15,Transfers,13/11/2023,10647,spending,1,Impersonation,3817531,7601963,November,1,paid_out,bank_C,bank_D,0.22,0.75,1,03/11/2023,,-1
37131,37132,Designer Handbag - Luxury Boutique,39.2,Shopping,13/11/2023,12168,spending,1,Purchase,3813362,6034098,November,1,paid_out,bank_D,bank_D,0.29,0.84,1,03/11/2023,1,0
37293,37294,WinBet Request Winnings Fee,16.95,Utilities,14/11/2023,18873,spending,1,AdvanceFee,6383323,3996461,November,1,paid_out,bank_C,bank_E,0.29,0.74,1,03/11/2023,,-1
37317,37318,Canary island holiday ,57.5,Holiday,14/11/2023,15971,spending,1,Romance,6130003,1030768,November,1,paid_out,bank_C,bank_E,0.51,0.55,1,03/11/2023,1,0
37332,37333,ClothesOnline additional posting payment,35,Shopping,14/11/2023,17619,spending,1,Purchase,5610559,3861758,November,1,paid_out,bank_E,bank_B,0.36,0.48,1,03/11/2023,,-1
37364,37365,Designer Handbag - Luxury Boutique,38.95,Shopping,14/11/2023,19167,spending,1,Purchase,3731229,1623217,November,1,paid_out,bank_C,bank_A,0.4,0.73,1,03/11/2023,,-1
37479,37480,Neiman Marcus - Designer Shopping,33.85,Shopping,14/11/2023,14513,spending,1,Romance,8199227,2365952,November,1,paid_out,bank_C,bank_C,0.3,0.81,1,03/11/2023,,-1
37640,37641,Traffic Violation Fine,164.45,Utilities,14/11/2023,18377,spending,1,Impersonation,4172198,5850806,November,1,paid_out,bank_D,bank_B,0.79,0.54,3,03/11/2023,,-1
37713,37714,Traffic Violation Fine,169.9,Utilities,14/11/2023,15831,spending,1,Impersonation,5506734,2866315,November,1,paid_out,bank_B,bank_E,0.64,0.77,3,03/11/2023,,-1
37727,37728,Electronics Purchase - Online Store,42,Electronics,14/11/2023,13067,spending,1,Purchase,2418683,4207816,November,1,paid_out,bank_B,bank_A,0.31,0.5,1,03/11/2023,,-1
37937,37938,Inheritance Release - Pay the Legal Fees,62.15,Utilities,14/11/2023,15233,spending,1,AdvanceFee,2021995,4136292,November,1,paid_out,bank_E,bank_A,0.31,0.64,1,03/11/2023,,-1
37955,37956,Inheritance Release - Pay the Legal Fees,50.25,Utilities,14/11/2023,18243,spending,1,AdvanceFee,5927881,1416318,November,1,paid_out,bank_A,bank_C,0.34,0.74,1,03/11/2023,,-1
38252,38253,Facebook Marketplace Upfront payment,33.15,Utilities,15/11/2023,17038,spending,1,Purchase,8486004,6548605,November,1,paid_out,bank_E,bank_C,0.37,0.79,1,03/11/2023,1,0
38358,38359,eBay securitng item payment,65.5,Shopping,15/11/2023,10271,spending,1,AdvanceFee,4826819,2799161,November,1,paid_out,bank_D,bank_E,0.31,0.89,1,03/11/2023,,-1
38376,38377,Law Enforcement Fine - Pay Now to Avoid Arrest,164.1,Utilities,15/11/2023,12172,spending,1,Impersonation,3675583,6224852,November,1,paid_out,bank_B,bank_C,0.44,0.43,3,03/11/2023,1,0
38391,38392,Apple Store - Electronics Purchase,52.1,Shopping,15/11/2023,15971,spending,1,Romance,5983221,8901623,November,1,paid_out,bank_D,bank_E,0.44,0.55,1,03/11/2023,,-1
38595,38596,Payment for Outstanding Tax Fine,171.7,Utilities,15/11/2023,11679,spending,1,Impersonation,7895813,7070352,November,1,paid_out,bank_E,bank_E,0.68,0.74,3,03/11/2023,,-1
38813,38814,V&I visa check fees ,60.05,Utilities,16/11/2023,13395,spending,1,Impersonation,6429118,1866793,November,1,paid_out,bank_A,bank_C,0.39,0.7,1,03/11/2023,,-1
39175,39176,HMRC tax rebate upfront fee,27.4,Utilities,16/11/2023,17038,spending,1,Impersonation,7948628,5283815,November,1,paid_out,bank_C,bank_C,0.13,0.79,1,03/11/2023,1,0
39332,39333,IRS Tax Payment - Urgent Action Required,85,Transfers,16/11/2023,18816,spending,1,Impersonation,7361541,3915670,November,1,paid_out,bank_A,bank_A,0.49,0.46,2,03/11/2023,1,0
39857,39858,Electronics Purchase - Online Store,27.8,Electronics,17/11/2023,18879,spending,1,Purchase,7358699,7140402,November,1,paid_out,bank_C,bank_E,0.11,0.66,1,03/11/2023,,-1
40175,40176,Law Enforcement Fine - Pay Now to Avoid Arrest,212,Utilities,17/11/2023,11679,spending,1,Impersonation,2056967,3714152,November,1,paid_out,bank_A,bank_E,0.58,0.74,3,03/11/2023,,-1
40180,40181,Private Yacht Charter - Mediterranean Cruise,64.3,Holiday,17/11/2023,16154,spending,1,Romance,2286750,1451661,November,1,paid_out,bank_B,bank_E,0.51,0.41,1,03/11/2023,,-1
40269,40270,HMRC tax rebate upfront fee,65.95,Utilities,17/11/2023,18377,spending,1,Impersonation,5916064,2196751,November,1,paid_out,bank_B,bank_B,0.35,0.54,1,03/11/2023,,-1
40338,40339,Hotel Reservation - Travel Website,49.95,Holiday,18/11/2023,15233,spending,1,Purchase,3791760,8596625,November,1,paid_out,bank_E,bank_A,0.25,0.64,1,03/11/2023,,-1
40441,40442,Designer Handbag - Luxury Boutique,53.45,Shopping,18/11/2023,17027,spending,1,Purchase,7240181,7582214,November,1,paid_out,bank_D,bank_A,0.49,0.72,1,03/11/2023,,-1
40442,40443,Guaranteed Returns - Investment Portfolio,532.65,Investment,18/11/2023,17027,spending,1,Investment,6156874,8930424,November,1,paid_out,bank_C,bank_A,0.69,0.72,3,03/11/2023,,-1
40536,40537,Emergency medical transfer,116.75,Healthcare,18/11/2023,13531,spending,1,Romance,2429073,4373820,November,1,paid_out,bank_C,bank_A,0.54,0.8,2,03/11/2023,,-1
40677,40678,Designer Handbag - Luxury Boutique,38.3,Shopping,18/11/2023,17619,spending,1,Purchase,4840797,8490559,November,1,paid_out,bank_E,bank_B,0.29,0.48,1,03/11/2023,,-1
41087,41088,Diamond Investment Fund - High-Value Returns,108.8,Investment,19/11/2023,15831,spending,1,Investment,2867944,4524971,November,1,paid_out,bank_D,bank_E,0.54,0.77,2,03/11/2023,1,0
41236,41237,Law Enforcement Fine - Pay Now to Avoid Arrest,104.15,Utilities,19/11/2023,13709,spending,1,Impersonation,4614422,3262132,November,1,paid_out,bank_B,bank_D,0.41,0.5,2,03/11/2023,1,0
41339,41340,ClothesOnline additional posting payment,90.9,Shopping,19/11/2023,17156,spending,1,Purchase,1421143,4326784,November,1,paid_out,bank_E,bank_E,0.5,0.43,2,03/11/2023,,-1
